"Package","Field"
"survtype","Genomics"
"sva","Microarray"
"svaNUMT","Genomics"
"svaRetro","Genomics"
"SVMDO","Transcriptomics"
"SVP","Single-cell"
"SWATH2stats","Immunology"
"SwathXtend","Other"
"swfdr","Other"
"switchBox","Other"
"switchde","Single-cell"
"synapsis","Single-cell"
"synergyfinder","Other"
"SynExtend","Genomics"
"synlet","Immunology"
"SynMut","Other"
"syntenet","Genomics"
"systemPipeR","Microarray"
"systemPipeShiny","Other"
"systemPipeTools","Other"
"tadar","Transcriptomics"
"TADCompare","Other"
"tanggle","Genomics"
"TAPseq","Single-cell"
"target","Other"
"TargetDecoy","Metabolomics"
"TargetScore","Transcriptomics"
"TargetSearch","Immunology"
"TaxSEA","Microbiome"
"TBSignatureProfiler","Genomics"
"TCC","Immunology"
"TCGAbiolinks","Microarray"
"TCGAutils","Other"
"TCseq","Microarray"
"TDbasedUFE","Single-cell"
"TDbasedUFEadv","Single-cell"
"TEKRABber","Genomics"
"TENET","Microarray"
"TENxIO","Single-cell"
"tenXplore","Single-cell"
"TEQC","Microarray"
"terapadog","Transcriptomics"
"ternarynet","Other"
"terraTCGAdata","Other"
"TFARM","Other"
"TFBSTools","Genomics"
"TFEA.ChIP","Microarray"
"TFHAZ","Microarray"
"TFutils","Transcriptomics"
"tidybulk","Transcriptomics"
"tidyCoverage","Other"
"tidyFlowCore","Single-cell"
"tidyomics","Transcriptomics"
"tidysbml","Other"
"tidySingleCellExperiment","Single-cell"
"tidySpatialExperiment","Single-cell"
"tidySummarizedExperiment","Transcriptomics"
"tigre","Microarray"
"TileDBArray","Other"
"tilingArray","Microarray"
"timecourse","Microarray"
"timeOmics","Microbiome"
"timescape","Other"
"TIN","Microarray"
"TissueEnrich","Genomics"
"tkWidgets","Other"
"tLOH","Transcriptomics"
"TMixClust","Genomics"
"TMSig","Genomics"
"TnT","Other"
"TOAST","Microarray"
"tomoda","Transcriptomics"
"tomoseqr","Transcriptomics"
"TOP","Genomics"
"topconfects","Microarray"
"topdownr","Immunology"
"topGO","Microarray"
"ToxicoGx","Genomics"
"TPP","Immunology"
"TPP2D","Proteomics"
"tpSVG","Transcriptomics"
"tracktables","Other"
"trackViewer","Other"
"tradeSeq","Single-cell"
"TrajectoryGeometry","Single-cell"
"TrajectoryUtils","Single-cell"
"transcriptogramer","Microarray"
"transcriptR","Immunology"
"transformGamPoi","Single-cell"
"transite","Microarray"
"tRanslatome","Microarray"
"transmogR","Transcriptomics"
"transomics2cytoscape","Other"
"traseR","Genomics"
"TreeAndLeaf","Other"
"treeclimbR","Other"
"treeio","Genomics"
"treekoR","Single-cell"
"TreeSummarizedExperiment","Other"
"TREG","Single-cell"
"Trendy","Immunology"
"TRESS","Transcriptomics"
"tricycle","Single-cell"
"TrIdent","Microbiome"
"trio","Microarray"
"triplex","Genomics"
"tripr","Immunology"
"tRNA","Other"
"tRNAdbImport","Other"
"tRNAscanImport","Other"
"TRONCO","Single-cell"
"TSAR","Other"
"TSCAN","Genomics"
"ttgsea","Genomics"
"TTMap","Microarray"
"TurboNorm","Microarray"
"TVTB","Genomics"
"tweeDEseq","Immunology"
"twilight","Microarray"
"twoddpcr","Other"
"txcutr","Transcriptomics"
"txdbmaker","Genomics"
"tximeta","Single-cell"
"tximport","Immunology"
"UCell","Single-cell"
"UCSC.utils","Genomics"
"Ularcirc","Transcriptomics"
"UMI4Cats","Other"
"uncoverappLib","Other"
"UNDO","Other"
"unifiedWMWqPCR","Genomics"
"UniProt.ws","Other"
"Uniquorn","Immunology"
"universalmotif","Genomics"
"updateObject","Other"
"UPDhmm","Genomics"
"uSORT","Immunology"
"VAExprs","Single-cell"
"VanillaICE","Other"
"VarCon","Transcriptomics"
"variancePartition","Microarray"
"VariantAnnotation","Genomics"
"VariantExperiment","Microarray"
"VariantFiltering","Genomics"
"VariantTools","Genomics"
"VaSP","Immunology"
"vbmp","Other"
"VCFArray","Other"
"VDJdive","Single-cell"
"VegaMC","Other"
"velociraptor","Single-cell"
"veloviz","Transcriptomics"
"VennDetail","Other"
"VERSO","Other"
"vidger","Immunology"
"viper","Genomics"
"ViSEAGO","Genomics"
"VisiumIO","Single-cell"
"visiumStitched","Transcriptomics"
"vissE","Genomics"
"vmrseq","Single-cell"
"Voyager","Transcriptomics"
"VplotR","Other"
"vsclust","Metabolomics"
"vsn","Microarray"
"vtpnet","Other"
"vulcan","Microarray"
"waddR","Single-cell"
"wateRmelon","Microarray"
"wavClusteR","Immunology"
"weaver","Other"
"webbioc","Microarray"
"weitrix","Single-cell"
"widgetTools","Other"
"wiggleplotr","Microarray"
"wpm","Metabolomics"
"wppi","Transcriptomics"
"Wrench","Other"
"XAItest","Other"
"xCell2","Single-cell"
"xcms","Immunology"
"xcore","Genomics"
"XDE","Microarray"
"XeniumIO","Single-cell"
"xenLite","Other"
"Xeva","Genomics"
"XINA","Transcriptomics"
"xmapbridge","Other"
"XVector","Other"
"yamss","Metabolomics"
"YAPSA","Genomics"
"yarn","Genomics"
"zellkonverter","Single-cell"
"zenith","Microarray"
"zFPKM","Immunology"
"zinbwave","Single-cell"
"zitools","Microbiome"
"ZygosityPredictor","Genomics"
"APAlyzer","Transcriptomics"
"barcodetrackR","Other"
"benchdamic","Microbiome"
"bgx","Microarray"
"biodbHmdb","Other"
"biodbNcbi","Other"
"biodbNci","Other"
"biodbUniprot","Other"
"BPRMeth","Single-cell"
"BubbleTree","Other"
"ChIPQC","Microarray"
"CINdex","Microarray"
"cisPath","Proteomics"
"comapr","Single-cell"
"cummeRbund","Transcriptomics"
"debCAM","Genomics"
"DeconRNASeq","Other"
"GEOexplorer","Microarray"
"gINTomics","Microarray"
"gpuMagic","Other"
"granulator","Single-cell"
"hca","Single-cell"
"hiAnnotator","Other"
"IMAS","Immunology"
"Melissa","Single-cell"
"mfa","Single-cell"
"oppti","Proteomics"
"profileplyr","Microarray"
"R453Plus1Toolbox","Other"
"receptLoss","Genomics"
"rGADEM","Microarray"
"SARC","Genomics"
"seqArchRplus","Other"
"SGCP","Microarray"
"shiny.gosling","Genomics"
"SigFuge","Immunology"
"soGGi","Microarray"
"spatzie","Genomics"
"SQLDataFrame","Other"
"tidytof","Single-cell"
"TransView","Microarray"
"traviz","Single-cell"
"Harshlight","Microarray"
"HiCool","Genomics"
"seqArchR","Transcriptomics"
"lapmix","Microarray"
"Repitools","Genomics"
"BiGGR","Metabolomics"
"PhenStat","Other"
"TitanCNA","Immunology"
"hiReadsProcessor","Other"
"seqTools","Other"
"MADSEQ","Genomics"
"ccmap","Microarray"
"CellScore","Microarray"
"qckitfastq","Other"
"XNAString","Genomics"
"ReactomeGraph4R","Other"
"LinTInd","Single-cell"
"microSTASIS","Microbiome"
"lute","Single-cell"
